'abbrev	abbreviation
2	to
4	for
99	parent is no longer watching
121	one to one
143	I love you
187	murder
303	mom
304	hoe
404	Clueless
411	information
420	marijuana
459	I love you
511	too much information
747	let's fly
831	I love you
1174	nude club
1337	elite
1432	I love you too
4311	hell
7734	hello
8008	boob
31337	elite
80085	Boobs
313373	elite
8008135	boobies
,!!!!	talk to the hand
::poof::	I am gone
:)book	facebook
?^	what's up?
?4u	Question for you
?u@	Where are you?
?up	what's up?
@	at
@+	see you later
@$$	ass
@$$ #013	ass hole
@$$hole	ass hole
@h	ass hole
@teotd	at the end of the day
**//	wink wink, nudge nudge
*$	starbucks
*4u	kiss for you
*67	unknown
*eg*	evil grin
*g*	grin
*s*	smile
/.	Slashdot
\m/	heavy metal music
^	up
^^&>	up up and away
^5	high five
^rup^	read up please
^urs	up yours
<3	love
>3	LOVE
$#!+	shit
$$	money
$h!t	shit
$xy	sexy
0day	software illegally obtained before it was released
0noe	Oh No
10q	thank you
10tacle	Tentacle
10x	thanks
12b	wannabe
133t	elite
13itch	bitch
14aa41	one for all and all for one
1ab	wannabe
1daful	wonderful
1dering	wondering
1nce	once
1sec	one second
2b	to be
2b or not 2b	to be or not to be
2b@	to be at
2b~not2b	to be or not to be
2b4u	too bad for you
2bad4u2	too bad for you too
2bh	to be honest
2bz4uqt	too busy for you cutey
2da	to the
2dae	today
2day	today
2ditd	today is the day
2dloo	toodle oo
2ez	too easy
2g2b4g	to good to be forgotten
2g2bt	too good to be true
2ge4	together
2getha	together
2gether	together
2gethr	together
2getr	together
2h2h	too hot to handle
2h4u	too hot for you
2k0	2000
2k1	2001
2k4	2004
2k6	2006
2k7	2007
2k8	2008
2k9	2009
2l8	too late
2m	tomorrow
2m4u	too much for you
2ma	tomorrow
2maro	tomorrow
2mmrw	tomorrow
2mo	tomorrow
2mora	tomorrow
2moro	tomorrow
2morow	tomorrow
2morro	tomorrow
2morrow	tommorrow
2moz	tomorrow
2mozz	tomorrow
2mro	tomorrow
2mrw	tomorrow
2mw	tomorrow
2mz	tomorrow
2night	tonight
2nite	tonight
2nyt	tonight
2o4s	too old for sex
2qt	too cute
2sday	tuesday
2tali	totally
2tm	to the max
2trd	too tired
2u2	To you too
301ing	referring traffic to another site
31ee7	elite
3arc	Treyarch
3q	thank you
3u	thank you
3vi1	evil
3y3 y4m	I am
42n8	fortunate
4col	for crying out loud
4e&e	forever and ever
4eae	forever and ever
4eva	forever
4ever	forever
4evr	for ever
4evs	forever
4fs	for fuck's sake
4g8	forget
4gai	forget about it
4geit	forget it
4get	forget
4getu	forget you
4give	forgive
4got	forgot
4gv	forgive
4head	forehead
4ker	fucker
4king	fucking
4lyf3	for life
4lyfe	for life
4m	form
4n	Phone
4nr	foreigner
4q	fuck you
4r3al	for real
4rm	from
4sho	for sure
4tlog	for the love of god
4tw	for the win
4u	for you
4umb	For You Maybe
4us	for us
4ward	forward
4wd	forward
5-oh	cop
53x	sex
5fs	five finger salute
5h17	shit
5n	fine
5o	police
6flx	X-Rated movie (sex flick)
6up	cops in area
6y	sexy
7p	prior proper planning prevents piss poor performance
7uck	fuck
81tc#	bitch
9009l3	Google
911sc	emergency let's stop chatting
9t	night
a.i.m.	AOL instant messanger
a.k.a	also known as
a.k.a.	also known as
a'ight	alright
a/l	age and location
a/m	away message
a/n	author's note
a/s/l	age, sex, location
a/s/l/p	age, sex, location, picture
a/s/l/r	age, sex, location, race
a&f	always and forever
a$$	ass
a1t	anyone there
a2d	agree to disagree
a3	anyplace, anywhere, anytime
aaaaa	American assosciation against acronym abuse
aabf	as a best friend
aaf	as a friend
aak	Alive and Kicking
